Date,Open,High,Low,Close,Adj Close,Volume
22/01/2014,78.70,79.612854,78.258568,78.78714,67.784882,94996300
23/01/2014,78.56,79.5,77.830002,79.454285,68.358871,100809800
24/01/2014,79.14,79.374283,77.821426,78.010002,67.116272,107338700
27/01/2014,78.58,79.257141,77.964287,78.64286,67.660751,138719700
28/01/2014,72.68,73.571426,71.724289,72.35714,62.252819,266380800
29/01/2014,71.99,72.48143,71.23143,71.535713,61.546089,125702500
30/01/2014,71.79,72.35714,70.957146,71.397141,61.426872,169625400
31/01/2014,70.74,71.647141,70.507141,71.514282,61.527653,116199300
03/02/2014,71.80,72.53286,71.328575,71.647141,61.641956,100366000
04/02/2014,72.26,72.779999,71.822861,72.684288,62.534294,94170300
05/02/2014,72.37,73.611427,72.321426,73.227142,63.00132,82086200
06/02/2014,72.87,73.35714,72.544289,73.215714,65.729195,64441300
07/02/2014,74.48,74.704285,73.91143,74.239998,66.64875,92570100
10/02/2014,74.09,75.998573,74,75.57,67.842743,86389800
11/02/2014,75.80,76.821426,75.64286,76.565712,68.736633,70564200
12/02/2014,76.71,77.080002,76.177139,76.559998,68.731514,77025200
13/02/2014,76.38,77.835716,76.314285,77.775711,69.822906,76849500
14/02/2014,77.50,77.997147,77.315712,77.71286,69.76651,68231100
18/02/2014,78.00,78.741432,77.944283,77.998573,70.022995,65062900
19/02/2014,77.82,78.127144,76.335716,76.767143,68.917488,78442000
20/02/2014,76.14,76.714287,75.571426,75.878571,68.119759,76464500
21/02/2014,76.11,76.367142,74.942856,75.035713,67.363091,69696200
24/02/2014,74.74,75.702858,74.631432,75.364288,67.658081,72227400
25/02/2014,75.63,75.652855,74.428574,74.580002,66.953979,57988000
26/02/2014,74.80,75,73.657143,73.907143,66.349915,69054300
27/02/2014,73.88,75.540001,73.721428,75.381432,67.673462,75470500
28/02/2014,75.58,76.10714,74.58857,75.177139,67.490059,92992200
03/03/2014,74.77,75.807144,74.687141,75.394287,67.684998,59695300
04/03/2014,75.86,76.091431,75.395714,75.891426,68.13131,64785000
05/03/2014,75.85,76.39286,75.589996,76.05143,68.274956,50015700
06/03/2014,76.11,76.348572,75.442856,75.821426,68.068459,46372200
07/03/2014,75.87,75.997147,75.150002,75.777145,68.028717,55182400
10/03/2014,75.48,76.190002,75.477142,75.845711,68.090263,44646000
11/03/2014,76.49,76.96286,76.084282,76.584282,68.753296,69806100
12/03/2014,76.36,76.764282,76,76.658569,68.820023,49831600
13/03/2014,76.78,77.094284,75.594284,75.807144,68.055641,64435700
14/03/2014,75.54,75.841431,74.714287,74.955711,67.291275,59299800
17/03/2014,75.39,75.709999,75.121429,75.248573,67.554192,49886200
